영역,#,항목,상태,기한,담당,우선순위,비고
A. 홍보 - 자체채널,A1,신규 홈페이지 공개 및 공유,1차 완료,완료,hiz,,goventureforum.vercel.app
A. 홍보 - 자체채널,A2,기존 홈페이지 리뉴얼 안내 팝업,미완,금주,윤태현,높음,리뉴얼 안내 + 새 홈페이지 링크
A. 홍보 - 자체채널,A3,인스타그램 키비주얼 포스팅,미착수,03/01,,높음,키비주얼 기반 카드뉴스/릴스
A. 홍보 - 자체채널,A4,인스타그램 광고 집행,미착수,03/03~,,높음,예산/타겟/기간 확정 필요
A. 홍보 - 자체채널,A5,뉴스레터 1차 발송 (스티비),미착수,03/03,윤태현,높음,기존 메일 리스트 대상
A. 홍보 - 자체채널,A6,뉴스레터 2차 발송,미착수,03/17,,중간,연사/라인업 공개 포함
A. 홍보 - 이벤트 플랫폼,A7,온오프믹스 포스터 업데이트,업데이트 필요,03/01,,높음,키비주얼로 교체 + 상세 내용 보강
A. 홍보 - 이벤트 플랫폼,A8,Festa (페스타) 등록,미등록,03/01,,높음,IT/스타트업 행사 1위. 무료
A. 홍보 - 이벤트 플랫폼,A9,이벤터스 등록,미등록,03/01,,중간,B2B/컨퍼런스 특화. 무료
A. 홍보 - 이벤트 플랫폼,A10,루프 (Lup) 등록,미등록,03/03,,낮음,스타트업/테크 신생 플랫폼
A. 홍보 - 미디어,A11,플래텀 보도자료/이벤트 게시,미착수,03/03,,높음,VC/창업자 필독 매체. 유료
A. 홍보 - 미디어,A12,벤처스퀘어 보도자료/이벤트 게시,미착수,03/03,,높음,투자/엑싯 중심. 유료
A. 홍보 - 미디어,A13,한경 긱스(GEEKS) 보도자료,미착수,03/05,,중간,전통 미디어 신뢰도
A. 홍보 - 미디어,A14,아웃스탠딩 네이티브 광고,미착수,03/05,,중간,유료 구독자 수만 명
A. 홍보 - 미디어,A15,EO 콜라보/광고,미착수,예산 확정 후,,낮음,100만+ 구독자. 고가
A. 홍보 - 미디어,A16,디스콰이엇 게시판 게시,미착수,03/03,,중간,IT 메이커 커뮤니티. 무료
A. 홍보 - 미디어,A17,긱뉴스 링크 게시,미착수,03/03,,낮음,개발자 중심. 무료
A. 홍보 - 외부 뉴스레터,A18,스타트업위클리,미착수,03/03,,높음,업계 필독. 유/무료
A. 홍보 - 외부 뉴스레터,A19,디캠프 뉴스레터,미착수,03/03,,높음,공익 행사 환영. 무료 협의
A. 홍보 - 외부 뉴스레터,A20,DEMODAY 뉴스레터 제보,미착수,03/01,,높음,투자/데모데이 전문. 무료
A. 홍보 - 외부 뉴스레터,A21,어피티,미착수,03/05,,중간,40만+ 구독자. 유료
A. 홍보 - 외부 뉴스레터,A22,캡틴,미착수,03/05,,중간,VC/투자업계. 유료
A. 홍보 - 외부 뉴스레터,A23,eopla (이오플래닛),미착수,03/05,,낮음,EO 커뮤니티. 유료
A. 홍보 - SNS/커뮤니티,A24,페이스북 스타트업 그룹 게시,미착수,03/01,,높음,1만~5만 멤버. 무료
A. 홍보 - SNS/커뮤니티,A25,LinkedIn 개인 계정 포스팅,미착수,03/01,,높음,업계 인물 태그. 무료
A. 홍보 - SNS/커뮤니티,A26,LinkedIn 이벤트 생성,미착수,03/01,,중간,B2B/전문직 타겟. 무료
A. 홍보 - SNS/커뮤니티,A27,X(트위터) 행사 트윗,미착수,03/01,,중간,업계 리더 멘션. 무료
A. 홍보 - SNS/커뮤니티,A28,네이버 카페 (창업 관련) 게시,미착수,03/03,,중간,수만 회원. 무료
A. 홍보 - SNS/커뮤니티,A29,리멤버 커뮤니티 게시,미착수,03/03,,중간,명함앱→비즈니스SNS. 300만+
A. 홍보 - 카톡 오픈채팅,A30,스타트업 대표/네트워킹 방,미착수,03/03,,중간,방 규칙 확인 후 공유. 방장 협의
A. 홍보 - 카톡 오픈채팅,A31,VC/투자자 네트워킹 방,미착수,03/03,,중간,투자 행사 환영받는 편
A. 홍보 - 카톡 오픈채팅,A32,창업자/CEO 모임 방,미착수,03/03,,중간,인증제 방도 있음
