미례국밥 3개월 마케팅 견적서 (월별),,,,,
제안일: 2026-03-11 | 브랜드라이즈,,,,,
,,,,,
파트너십의 KPI,,,견적 참고 사항,,
"* 네이버플레이스·인스타그램·블로그 3채널 집중
* 전략1. 유입량 늘리기: 무가 씨딩 30명(릴스 30개) + 인스타 매장 붐업 콘텐츠
* 전략2. 방문율 높이기: 네이버플레이스 최적화 + 블로그 리뷰 + 키워드 선점
* 3개월 리테이너: 땅 다지기 → 불 지피기 → 엔진 걸기","* 무가 씨딩 인플루언서 음식 원가는 미례국밥 부담 (1인당 1~2인분)
* 체험단 음식 원가는 미례국밥 부담
* 메타 광고비 월 50만원 포함 (첫달 세팅비 +30만)
* 블로그: 1개월차 brandrise 직접 작성, 2개월차~ 내부 작성 전환",,
,,,,,
,,,,,
1개월차 — 땅 다지기,"채널 기반을 세우고, 첫 릴스 10개를 터뜨립니다",,,,
,,,,,
구분,항목,단가,기준,수량,합계
인스타그램 채널 전략 수립,"채널 컨셉, 비주얼 무드보드, 레퍼런스 계정 리스트업, 피드 가이드라인, Figma 템플릿",1200000,1회,1,1200000
네이버플레이스 풀 셋업,"전 항목 점검, 키워드 세팅 10~15개, 메뉴판 정비, 대표 사진·소개란, 스마트콜·인스타 연동",800000,1회,1,800000
블로그 세팅 + 샘플 5편,"블로그 개설·디자인, 시리즈 기획, 샘플 5편 직접 작성",1000000,1회,1,1000000
무가 씨딩 1차 (10명),"인플루언서 선정, 바이럴 포인트 가이드 제작, 방문 일정 코디, 릴스 QC",1200000,월,1,1200000
메타 광고 세팅·운영,"광고비 50만 포함 + 초기 세팅 30만 (계정·픽셀 세팅, 릴스 도달 광고, 서울 2030 타겟팅)",800000,월,1,800000
,,,,,
>> 1개월차 납품물,"인스타 채널 전략서, 무드보드, Figma 템플릿, 피드 가이드라인, 네이버플레이스 셋업 완료, 블로그 5편, 키워드 전략서, 바이럴 가이드, 릴스 10개",,,,
1개월차 소계,,,,,5000000
,,,,,
,,,,,
2개월차 — 불 지피기,"릴스가 쌓이고, 블로그 리뷰가 올라가고, 검색 순위가 오릅니다",,,,
,,,,,
구분,항목,단가,기준,수량,합계
무가 씨딩 2차 (10명),"1차 성과 분석 반영, 가이드 개선, 2차 인플루언서 선정·코디·릴스 QC",1200000,월,1,1200000
인스타 콘텐츠 기획·제작,"매장 붐업 콘텐츠(줄서기·매장 활기·돼지우동 클로즈업), 콘텐츠 캘린더, 해시태그 전략",1000000,월,1,1000000
블로그 콘텐츠 기획·가이드,"시리즈별 콘텐츠 기획, 작성 가이드 제공 (내부 작성 전환)",500000,월,1,500000
블로그 체험단 1차 (10~15팀),"블로그 리뷰 볼륨 확보, 체험단 모집·관리·QC",800000,회,1,800000
네이버플레이스 관리,"리뷰 응대 가이드, 키워드 순위 추적, 교차 링크 관리",500000,월,1,500000
경쟁 매장 비교 분석,"같은 상권 국밥집 3곳 네이버플레이스 비교 리포트",500000,1회,1,500000
메타 광고 운영·최적화,"광고비 50만 포함 (릴스 광고 증폭, 타겟 세분화, 소재별 A/B 테스트)",500000,월,1,500000
,,,,,
>> 2개월차 납품물,"릴스 누적 20개, 바이럴 가이드(개선판), 월간 콘텐츠 캘린더, 블로그 작성 가이드, 블로그 리뷰 20편+, 경쟁 분석 리포트, 키워드 순위 리포트",,,,
2개월차 소계,,,,,5000000
,,,,,
,,,,,
3개월차 — 엔진 걸기,"릴스 30개, 리뷰 40건+. 검색 상위 안착. 자체 운영 기반 완성",,,,
,,,,,
구분,항목,단가,기준,수량,합계
무가 씨딩 3차 (10명),"릴스 누적 30개 달성, 성과 좋은 인플루언서 재협업 포함",1200000,월,1,1200000
인스타 콘텐츠 기획·제작,"매장 붐업 콘텐츠 + 4개월차 이후 자체 운영용 콘텐츠 캘린더 납품",1000000,월,1,1000000
블로그 콘텐츠 기획·가이드,"시리즈별 콘텐츠 기획, 자체 운영 가이드 납품",500000,월,1,500000
블로그 체험단 2차 (10~15팀),"블로그 리뷰 누적 40편+ 달성, 체험단 모집·관리·QC",800000,회,1,800000
네이버플레이스 관리,"리뷰 관리 가이드 납품, 키워드 순위 리포트, 리뷰 유도 POP 제안",500000,월,1,500000
메타 광고 운영 + 3개월 풀 리포트,"광고비 50만 포함 + 풀 리포트 50만 (전 채널 성과 분석, 자체 운영 가이드, 다음 분기 제안)",1000000,월,1,1000000
,,,,,
>> 3개월차 납품물,"릴스 누적 30개, 블로그 리뷰 40편+, 리뷰 관리 가이드, 자체 운영 콘텐츠 캘린더, 3개월 풀 성과 리포트, 자체 운영 가이드, 다음 분기 제안서",,,,
3개월차 소계,,,,,5000000
,,,,,
,,,,,
합계,,,,,
서비스비 (3개월),,,,,15000000
월 환산,,,,,5000000
,,,,,
참고 사항,,,,,
메타 광고비,"월 50만원 서비스비에 포함 (첫달 세팅비 +30만)",,,,포함
무가 씨딩 음식 원가,"미례국밥 부담 (인플루언서 1인당 1~2인분, 30명 기준)",,,,"미례 부담"
체험단 음식 원가,"미례국밥 부담 (10~15팀 x 2회)",,,,"미례 부담"
,,,,,
총 비용 (광고비 포함),,,,,15000000
